Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,sw_in,lw_in,d,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
29-May-2017 07:00:00,99.7333333333333,NaN,NaN,NaN,327.631625,1.59833333333333,290.791716666667,290.291916666667,5.20633333333333,1.29233333333333,204.7529,77.82,872.727916666667,0,0.679000918843319,0,0,0,0.716607431099499
29-May-2017 08:00:00,99.8666666666667,NaN,NaN,NaN,329.67325,3.26833333333333,349.515816666667,305.530733333333,4.84083333333333,2.09166666666667,245.40365,71.7533333333333,872.641266666667,0,0.679837173150365,0,0,0,0.716529963497806
29-May-2017 09:00:00,99.7833333333333,NaN,NaN,NaN,315.664826312834,4.91433333333333,446.2812,320.219083333333,4.44583333333333,2.77116666666667,314.249366666667,66.63,872.385816666667,NaN,0.68132931032684,0,0,0,0.716452495896113
29-May-2017 10:00:00,100.083333333333,NaN,NaN,NaN,318.492201431036,4.88416666666667,671.12995,303.4446,4.6695,3.30333333333333,459.315833333333,68.7916666666667,872.140566666667,NaN,0.681970455042205,0,0,0,0.71637502829442
29-May-2017 11:00:00,99.8833333333333,NaN,NaN,NaN,314.957738293525,6.47383333333333,682.201216666667,307.10955,5.23116666666667,2.56333333333333,470.199483333333,76.6916666666667,872.092216666667,NaN,0.681776508859346,0,0,0,0.716297560692727
29-May-2017 12:00:00,99.2833333333333,NaN,NaN,NaN,314.791836834972,7.85266666666667,702.371616666667,309.8152,4.89666666666667,2.53933333333333,486.9192,78.4066666666667,871.799933333333,NaN,0.681783053864245,0,0,0,0.716220093091035
29-May-2017 13:00:00,98.75,NaN,NaN,NaN,314.45580691076,8.137,685.55315,303.536983333333,4.50816666666667,2.44016666666667,468.89125,79.915,871.3923,NaN,0.681700923220096,0,0,0,0.716142625489342
29-May-2017 14:00:00,99.5666666666667,NaN,NaN,NaN,316.268378510378,8.68166666666667,738.549283333333,282.339,4.732,2.73816666666667,476.217133333333,80.6383333333333,870.84605,NaN,0.68152531185413,4.62437422302173e-05,0,4.62437422302173e-05,0.716065157887649
29-May-2017 15:00:00,100.3,NaN,NaN,NaN,314.695900525841,10.2016666666667,631.460666666667,274.752133333333,4.58383333333333,2.368,400.265783333333,83.2333333333333,870.288433333333,NaN,0.681231395776586,5.70449076903969e-05,0,5.70449076903969e-05,0.715987690285956
29-May-2017 16:00:00,100.533333333333,NaN,NaN,NaN,313.481954702571,10.0233333333333,511.21355,296.5145,4.7005,2.20033333333333,333.644866666667,86.6333333333333,870.139066666667,NaN,0.680619982985261,2.19710077899435e-05,0,2.19710077899435e-05,0.715910222684263
29-May-2017 17:00:00,85,NaN,NaN,NaN,329.567233333333,10.09,332.145983333333,282.6366,4.59333333333333,1.74383333333333,217.913083333333,90.15,869.8363,0,0.678430915096176,5.91988345295249e-05,0,5.91988345295249e-05,0.715832755082571
29-May-2017 18:00:00,68.0833333333333,NaN,NaN,NaN,329.107166666667,10.225,261.949166666667,282.488416666667,4.741,1.4945,170.5231,91.15,869.58735,0,0.676786171483473,0.000126673392080193,2.11698423204325e-05,0.00010550354975976,0.715755287480878
29-May-2017 19:00:00,101.833333333333,NaN,NaN,NaN,329.161783333333,8.83633333333333,165.152933333333,299.5045,4.0305,1.202,110.663265,93.1333333333333,869.97465,0,0.676511573367511,0.000127230665510069,3.71058807099871e-05,9.01247848000821e-05,0.715677819879185
29-May-2017 20:00:00,103.1,NaN,NaN,NaN,329.0885,6.866,75.8015383333333,315.5637,4.00566666666667,0.983666666666667,52.4097383333333,93.6666666666667,869.809983333333,0,0.676954473730163,0.000534153627159867,0.00020408981538958,0.000330063811770287,0.715600352277492
29-May-2017 21:00:00,101.083333333333,NaN,NaN,NaN,328.6731,5.79816666666667,28.2717933333333,308.700316666667,4.2405,1.04516666666667,20.6701216666667,92.6666666666666,869.455366666667,0,0.67838213776559,9.40058273599789e-05,3.18490617701173e-05,6.21567655898616e-05,0.715522884675799
