Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,d,sw_in,lw_in,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
25-Jun-2019 09:00:00,205.733333333333,NaN,NaN,NaN,308.289783333333,4.233,164.316666666667,461.100483333333,302.476116666667,2.7105,32.9755883333333,84,933.905316666667,-1.56556915589846,0.0800827897588396,0,0,0,0.123182405542646
25-Jun-2019 10:00:00,204.05,NaN,NaN,NaN,306.189166666667,3.357,195.683333333333,503.90515,307.694616666667,4.529,34.3027983333333,71.7566666666667,933.788016666667,-2.07930514225318,0.0814629366418801,0,0,0,0.123070633724025
25-Jun-2019 11:00:00,194.516666666667,NaN,NaN,NaN,308.17795,5.11433333333333,230.916666666667,674.4978,303.050816666667,5.82866666666667,47.01818,69.31,933.4388,-1.59428578424342,0.0817283165351464,0,0,0,0.122958861905404
25-Jun-2019 12:00:00,177.766666666667,NaN,NaN,NaN,309.357133333333,7.1225,246.533333333333,814.850333333333,308.75385,6.72333333333333,56.1968716666667,71.9966666666667,933.312833333333,-1.36643202088587,0.0817823880833426,0,0,0,0.122847090086784
25-Jun-2019 13:00:00,218.5,NaN,NaN,NaN,309.31635,5.86466666666667,262.533333333333,776.598833333333,295.149966666667,7.5465,54.526235,69.1516666666667,933.493483333333,-1.28272905386579,0.0817869454778448,0,0,0,0.122735318268163
25-Jun-2019 14:00:00,247.516666666667,NaN,NaN,NaN,306.7165,4.32233333333333,260.866666666667,708.419,300.4799,8.16666666666667,53.2007616666667,69.0516666666667,933.477933333333,-1.90894217012243,0.0817738263778752,0,0,0,0.122623546449542
25-Jun-2019 15:00:00,249.133333333333,NaN,NaN,NaN,314.356666666667,4.96066666666667,269.383333333333,263.07265,327.843366666667,8.49883333333333,21.334865,69.9666666666667,933.494316666667,-0.53794645052208,0.0817833373780871,0,0,0,0.122511774630921
25-Jun-2019 16:00:00,166.966666666667,NaN,NaN,NaN,307.2093,4.33666666666667,226.316666666667,529.881966666667,294.379733333333,8.63533333333333,47.926615,69.1216666666667,933.100166666667,-1.75853957542589,0.0819464210961262,0,0,0,0.1224000028123
25-Jun-2019 17:00:00,221.016666666667,NaN,NaN,NaN,309.8616,3.89083333333333,238.1,476.776866666667,295.5844,9.995,51.3129816666667,62.1383333333333,933.371116666667,-1.16368807579339,0.0820841934356891,0,0,0,0.12228823099368
25-Jun-2019 18:00:00,199.916666666667,NaN,NaN,NaN,308.591516666667,3.006,98.0416666666667,433.787666666667,308.113533333333,10.2216666666667,38.7795066666667,62.7783333333333,933.487433333333,-1.53546617403027,0.0823641218873717,0,0,0,0.122176459175059
25-Jun-2019 19:00:00,199.983333333333,NaN,NaN,NaN,307.5512,4.00466666666667,192.516666666667,280.200133333333,292.214583333333,7.84716666666667,28.8409383333333,68.9916666666667,933.49505,-1.66624271458941,0.0820364878664109,0,0,0,0.122064687356438
25-Jun-2019 20:00:00,206.1,NaN,NaN,NaN,310.491483333333,1.5865,167.133333333333,178.417466666667,294.91305,9.28833333333333,27.3848666666667,64.15,933.489066666667,-1.02601218504319,0.081754669991965,0,0,0,0.121952915537817
25-Jun-2019 21:00:00,200.866666666667,NaN,NaN,NaN,309.46975,2.2435,190.15,93.699665,287.78925,7.5065,18.2597333333333,67.5183333333333,933.123133333333,-1.20518889515477,0.0807615999302254,0,0,0,0.121841143719196
25-Jun-2019 22:00:00,201.1,NaN,NaN,NaN,313.63195,2.38016666666667,121.983333333333,48.2297166666667,293.23065,8.428,6.635071,62.9516666666667,933.233333333333,-0.44725959598055,0.0805438079128543,0,0,0,0.121729371900576
25-Jun-2019 23:00:00,206.6,NaN,NaN,NaN,316.98985,1.61933333333333,110.046666666667,12.0521663333333,300.409716666667,8.69033333333333,1.81218821666667,58.0783333333333,932.827066666667,-0.0098014275255404,0.0810418692464481,0,0,0,0.121617600081955
26-Jun-2019 00:00:00,201.983333333333,NaN,NaN,NaN,315.53335,4.09233333333333,253.383333333333,2.31160333333333,304.4696,8.13716666666667,0.7287842,59.9366666666667,932.321716666667,-0.173676125548762,0.081307367196285,0,0,0,0.121505828263334
26-Jun-2019 01:00:00,202,NaN,NaN,NaN,317.368766666667,1.99433333333333,132.598333333333,3.098622,324.8296,7.98866666666667,0.55336155,62.03,932.228966666667,-0.12188506504584,0.0807136472199916,0,0,0,0.118526418752362
26-Jun-2019 02:00:00,201.166666666667,NaN,NaN,NaN,317.18825,2.01416666666667,120.628333333333,4.38119216666667,324.212916666667,9.13766666666667,0.7429599,54.2383333333333,931.971533333333,-0.0940455594901929,0.0795122224411596,0,0,0,0.115547009241389
26-Jun-2019 03:00:00,214.45,NaN,NaN,NaN,315.7894,3.1145,145.666666666667,22.5128841666667,294.617533333333,9.875,3.10216948333333,47.5316666666667,931.541533333333,-0.000151883414067318,0.0784677238559269,0,0,0,0.112567599730417
26-Jun-2019 04:00:00,196.7,NaN,NaN,NaN,311.2571,5.868,247.4,83.7648716666667,289.278766666667,8.088,7.3564985,55.06,931.540033333333,-0.804528641656702,0.0780921174507372,0,0,0,0.109588190219445
26-Jun-2019 05:00:00,217.333333333333,NaN,NaN,NaN,312.34055,7.95283333333333,254.833333333333,126.358916666667,285.647916666667,6.5425,11.2640301666667,64.3633333333333,931.278716666667,-0.536285043984407,0.076886738396069,0,0,0,0.106608780708473
26-Jun-2019 06:00:00,208.583333333333,NaN,NaN,NaN,311.652166666667,5.01,289.783333333333,231.000066666667,291.0062,6.80733333333333,15.2001683333333,67.7816666666667,932.3234,-0.727060514099624,0.0753021437711339,0,0,0,0.1036293711975
26-Jun-2019 07:00:00,207.25,NaN,NaN,NaN,311.941333333333,5.68433333333333,272.933333333333,304.84455,293.91315,6.76633333333333,19.4250316666667,70.9433333333333,933.146783333333,-0.681766524002418,0.0745104851155253,0,0,0,0.100649961686528
26-Jun-2019 08:00:00,207.75,NaN,NaN,NaN,310.09685,4.20216666666667,198.566666666667,525.928183333333,287.0965,7.73316666666667,31.6525183333333,66.5016666666667,933.55635,-1.05127797942175,0.0731959815315189,0,0,0,0.097670552175556
26-Jun-2019 09:00:00,230.116666666667,NaN,NaN,NaN,310.18665,5.86566666666667,196.516666666667,294.31115,294.239566666667,7.82583333333333,17.8953,61.3183333333333,933.479683333333,-1.08278797708634,0.0720028716553934,0,0,0,0.0946911426645837
26-Jun-2019 10:00:00,225.35,NaN,NaN,NaN,314.3167,7.652,229.3,206.714283333333,304.255166666667,6.82933333333333,13.9000133333333,66.27,933.379933333333,-0.218628203806967,0.0706907208336595,0,0,0,0.0917117331536115
26-Jun-2019 11:00:00,251.566666666667,NaN,NaN,NaN,315.8052,9.43833333333333,250.616666666667,381.993433333333,313.130966666667,7.64016666666667,25.1193166666667,67.3016666666667,933.215233333333,-0.0487567453095986,0.070247237857351,0,0,0,0.0887323236426392
26-Jun-2019 12:00:00,211.483333333333,NaN,NaN,NaN,315.7651,9.36833333333333,249.983333333333,731.47595,313.299816666667,8.08916666666667,45.4282216666667,69.8166666666666,933.31165,-0.0294517266798001,0.0701170712154757,0,0,0,0.085752914131667
26-Jun-2019 13:00:00,206.233333333333,NaN,NaN,NaN,314.91615,5.481,246.916666666667,766.186,299.997766666667,8.2195,45.624915,71.2,933.81855,-0.134084964855172,0.0700639734752238,0,0,0,0.0827735046206947
26-Jun-2019 14:00:00,206,NaN,NaN,NaN,314.72285,5.60033333333333,224.05,756.6205,292.6097,7.91016666666667,49.975045,71.7616666666667,933.574183333333,-0.253076130929401,0.0700224817189771,0,0,0,0.0797940951097225
26-Jun-2019 15:00:00,207.266666666667,NaN,NaN,NaN,314.1157,6.58883333333333,221.333333333333,652.489766666667,296.890966666667,8.1645,49.2070666666667,70.0266666666667,933.53975,-0.511226817789199,0.0699999744644444,0,0,0,0.0768146855987503
26-Jun-2019 16:00:00,208.433333333333,NaN,NaN,NaN,312.913783333333,3.589,177.383333333333,383.975783333333,309.554933333333,7.57916666666667,28.093475,72.3166666666667,934.045,-0.664735857652724,0.0698279343344,0,0,0,0.073835276087778
26-Jun-2019 17:00:00,208.383333333333,NaN,NaN,NaN,311.837616666667,4.8005,174.15,320.931616666667,293.291916666667,5.03533333333333,28.483545,79.0966666666667,933.78985,-0.711171642373994,0.0698437582904539,0,0,0,0.0708558665768057
26-Jun-2019 18:00:00,208.516666666667,NaN,NaN,NaN,315.8479,5.51583333333333,187.966666666667,132.503036666667,303.9774,5.6465,10.9115126666667,79.0116666666667,933.65245,-0.283540942855448,0.0697095985685797,0,0,0,0.0678764570658335
26-Jun-2019 19:00:00,208.916666666667,NaN,NaN,NaN,315.898133333333,4.82433333333333,182.5,158.32541,329.355816666667,5.88266666666667,11.3180848333333,78.2483333333333,933.944133333333,-0.277297999181855,0.0694918754417349,0,0,0,0.0648970475548613
26-Jun-2019 20:00:00,209.2,NaN,NaN,NaN,311.8126,4.21416666666667,173.033333333333,181.6974,293.411116666667,5.726,19.9587283333333,78.8916666666667,934.150416666667,-0.708482509011712,0.0692435915498923,0,0,0,0.061917638043889
26-Jun-2019 21:00:00,210.35,NaN,NaN,NaN,315.971183333333,4.06783333333333,232.35,71.2220416666667,303.387383333333,7.1525,8.23967116666667,76.475,934.158716666667,-0.185382189355162,0.0688076607937281,0,0,0,0.0589382285329167
26-Jun-2019 22:00:00,211.05,NaN,NaN,NaN,316.004283333333,2.39766666666667,232.05,23.0447083333333,301.844916666667,5.93066666666667,2.026303655,78.9966666666667,934.191266666667,-0.343993221809228,0.068204497402523,0,0,0,0.0559588190219445
26-Jun-2019 23:00:00,210.45,NaN,NaN,NaN,313.398283333333,3.79583333333333,169.066666666667,5.54599516666667,290.2343,3.42866666666667,0.525825012666667,85.9666666666667,934.18305,-0.413120111091728,0.0675940431085861,0,0,0,0.0529794095109722
27-Jun-2019 00:00:00,210.133333333333,NaN,NaN,NaN,315.93495,4.31983333333333,175.55,1.3972435,314.527616666667,3.58516666666667,0.326422178333333,85.3166666666667,933.86515,-0.107320667874442,0.0671274442716506,0,0,0,0.05
27-Jun-2019 01:00:00,209.85,NaN,NaN,NaN,316.1173,3.92466666666667,195.7,1.3154211,319.40815,4.29033333333333,0.164181483333333,83.7666666666667,933.50095,-0.0845866323928987,0.0674871394273326,0,0,0,0.0500817781271521
27-Jun-2019 02:00:00,210.25,NaN,NaN,NaN,315.561816666667,4.61133333333333,185.566666666667,1.84024066666667,304.451883333333,4.12666666666667,0.421755,84.2166666666667,932.852683333333,-0.101070267734068,0.0681287026325352,0,0,0,0.0501635562543041
27-Jun-2019 03:00:00,210.416666666667,NaN,NaN,NaN,318.56285,3.46416666666667,183.916666666667,8.172562,326.879,5.27366666666667,1.005607035,84.1833333333333,932.500083333333,-0.0612663167637872,0.0677344824784982,0,0,0,0.0502453343814562
27-Jun-2019 04:00:00,210.55,NaN,NaN,NaN,319.613066666667,3.51516666666667,177.766666666667,47.3014433333333,332.374283333333,6.02116666666667,4.910264,83.25,932.162816666667,-0.0317287944550723,0.0653167666428358,0,0,0,0.0503271125086083
27-Jun-2019 05:00:00,211.866666666667,NaN,NaN,NaN,316.28005,3.07916666666667,126.733333333333,119.619111666667,312.557833333333,5.91266666666667,9.94695616666667,80.8366666666667,931.778366666667,-0.111843004244937,0.0642707951725645,0,0,0,0.0504088906357603
27-Jun-2019 06:00:00,209.083333333333,NaN,NaN,NaN,316.51005,3.3355,172.55,257.126383333333,308.790466666667,7.3235,15.6422383333333,73.39,931.366283333333,-0.245131669473353,0.06248305124718,0,0,0,0.0504906687629124
27-Jun-2019 07:00:00,210.95,NaN,NaN,NaN,317.0736,4.139,150.083333333333,260.421383333333,311.38965,8.434,14.7762373333333,63.3516666666667,931.280733333333,-0.140719188570292,0.0617090778640777,3.09968599822241e-07,0,3.09968599822241e-07,0.0505724468900644
27-Jun-2019 08:00:00,251.383333333333,NaN,NaN,NaN,313.735883333333,3.67966666666667,163.15,408.391616666667,312.8025,7.62366666666667,20.8230283333333,67.4216666666667,931.742816666667,-0.534653268589275,0.0610981529111738,2.04928672801543e-05,0,2.04928672801543e-05,0.0506542250172165
27-Jun-2019 09:00:00,253.583333333333,NaN,NaN,NaN,317.840916666667,2.751,180.683333333333,349.440333333333,328.373666666667,10.795,17.9322583333333,53.555,932.008233333333,-0.316361319401172,0.0590683427483205,5.25560259984559e-06,0,5.25560259984559e-06,0.0507360031443686
27-Jun-2019 10:00:00,216.716666666667,NaN,NaN,NaN,320.206766666667,3.59216666666667,237.333333333333,267.089466666667,340.6934,10.9166666666667,14.1792583333333,50.81,932.049116666667,0,0.0583966777582733,1.27987033010868e-06,0,1.27987033010868e-06,0.0508177812715206
27-Jun-2019 11:00:00,254.116666666667,NaN,NaN,NaN,315.640316666667,4.29016666666667,228.716666666667,189.143966666667,336.38665,8.3145,9.23979216666667,64.2716666666667,932.191083333333,-0.225728183540298,0.0585846383918466,0,0,0,0.0508995593986727
27-Jun-2019 12:00:00,211.966666666667,NaN,NaN,NaN,318.9421,5.919,201.25,176.54315,336.8342,6.54416666666667,10.1698361666667,72.4816666666667,932.047866666667,-0.0665090413675387,0.0586658032316952,0,0,0,0.0509813375258248
27-Jun-2019 13:00:00,213.583333333333,NaN,NaN,NaN,317.778416666667,5.118,169.933333333333,243.107133333333,334.615233333333,5.66683333333333,13.5427116666667,73.8916666666667,931.872816666667,-0.051759551256102,0.0586388631115941,0,0,0,0.0510631156529768
